when,runner,mode,language,name,num_cores,num_events,elapsed,peak_memory_bytes,cpu_msecs,late_drops
2024-09-06 23:35:11,feldera,stream,sql,q0,16,100000100,25.7,2006200320,427260,0
2024-09-06 23:35:11,feldera,stream,sql,q1,16,100000100,25.7,1931341824,439940,0
2024-09-06 23:35:11,feldera,stream,sql,q2,16,100000100,22.7,1547386880,403850,0
2024-09-06 23:35:11,feldera,stream,sql,q3,16,100000100,18.5,586076160,415210,0
2024-09-06 23:35:11,feldera,stream,sql,q4,16,100000100,64.8,8235958272,1212190,0
2024-09-06 23:35:11,feldera,stream,sql,q5,16,100000100,83.9,12833615872,1463150,0
2024-09-06 23:35:11,feldera,stream,sql,q7,16,100000100,51.4,2552422400,904170,0
2024-09-06 23:35:11,feldera,stream,sql,q8,16,100000100,18.5,556912640,388110,0
2024-09-06 23:35:11,feldera,stream,sql,q9,16,100000100,130.8,99226685440,2367840,0
2024-09-06 23:35:11,feldera,stream,sql,q10,16,100000100,27.7,1913266176,487080,0
2024-09-06 23:35:11,feldera,stream,sql,q12,16,100000100,28.8,14687997952,507880,0
2024-09-06 23:35:11,feldera,stream,sql,q13,16,100000100,80.9,37157253120,1216780,0
2024-09-06 23:35:11,feldera,stream,sql,q14,16,100000100,27.7,1757749248,466290,0
2024-09-06 23:35:11,feldera,stream,sql,q15,16,100000100,30.9,1862094848,548990,0
2024-09-06 23:35:11,feldera,stream,sql,q16,16,100000100,94.5,7025897472,1225350,0
2024-09-06 23:35:11,feldera,stream,sql,q17,16,100000100,29.8,3168292864,522170,0
2024-09-06 23:35:11,feldera,stream,sql,q18,16,100000100,66.8,49618710528,1237700,0
2024-09-06 23:35:11,feldera,stream,sql,q19,16,100000100,67.8,50310086656,1236820,0
2024-09-06 23:35:11,feldera,stream,sql,q20,16,100000100,61.6,37954637824,1101960,0
2024-09-06 23:35:11,feldera,stream,sql,q22,16,100000100,35.9,2088783872,599260,0
